Country;pct2021;iso2;iso3;continent;capital;DirectBorder;SecondaryBorder;Nato;OKVS;BRICS;Neutrality;Year;electdem_vdem_owid;electdem_vdem_high_owid;electdem_vdem_low_owid;dist;GDP growth;Soviet
Austria;0.698116413133988;AT;AUT;Europe;Vienna;0;0;0;0;0;1;2015;868;914;835;1675.699;-0.111540189504495;0
Belgium;0.909284202068915;BE;BEL;Europe;Brussels;0;0;1;0;0;0;2015;896;939;863;2261.25;1.45189336758756;0
Bulgaria;1.24553912005675;BG;BGR;Europe;Sofia;0;0;1;0;0;0;2015;674;0.74;0.62;1785.898;4.09010768554509;0
Croatia;1.76057668551165;HR;HRV;Europe;Zagreb;0;0;1;0;0;0;2015;814;0.87;774;1875.36;3.37066856048678;0
Cyprus;1.64766762744388;CY;CYP;Europe;Nicosia;0;0;0;0;0;0;2015;847;899;806;2316.67;4.00942677175865;0
Czechia;0.946582095560622;CZ;CZE;Europe;Prague;0;1;1;0;0;0;2015;864;909;829;1673;5.18140265379816;0
Denmark;1.11144601158659;DK;DNK;Europe;Copenhagen;0;1;1;0;0;0;2015;922;956;894;1566.362;1.62216625804921;0
Estonia;2.0260417420727;EE;EST;Europe;Tallinn;1;0;1;0;0;0;2015;893;932;861;871.7853;1.78627469426176;1
Finland;1.44996097168673;FI;FIN;Europe;Helsinki;1;0;1;0;0;0;2015;866;909;826;892.6777;0.213029419665261;0
France;1.87225828127684;FR;FRA;Europe;Paris;0;0;1;0;0;0;2015;893;935;866;2494.316;0.754024352327519;0
Germany;1.13733842666332;DE;DEU;Europe;Berlin;0;1;1;0;0;0;2015;884;931;855;1614.179;0.617105353219898;0
Greece;2.46330328904394;GR;GRC;Europe;Athens;0;0;1;0;0;0;2015;868;0.91;834;2233.583;0.463652786270188;0
Hungary;0.904722073336147;HU;HUN;Europe;Budapest;0;1;1;0;0;0;2015;621;668;0.55;1574.19;3.95428261265434;0
Ireland;0.341856403142522;IE;IRL;Europe;Dublin;0;0;0;0;0;1;2015;894;935;863;2802.315;23.2008710727033;0
Italy;1.20822825265709;IT;ITA;Europe;Rome;0;0;1;0;0;0;2015;867;907;834;2383.171;0.875477401786128;0
Latvia;1.03735427695593;LV;LVA;Europe;Riga;1;0;1;0;0;0;2015;835;895;798;847.8519;4.73918260611251;0
Lithuania;1.13774817357899;LT;LTU;Europe;Vilnius;1;0;1;0;0;0;2015;841;892;802;794.0689;2.98891297061452;0
Luxembourg;0.415571527949753;LU;LUX;Europe;Luxembourg;0;0;1;0;0;0;2015;879;929;847;2214.132;-0.115476305532894;0
Malta;0.467203716750545;MT;MLT;Europe;Valletta;0;0;0;0;0;1;2015;782;827;721;2819.734;7.02341134136087;0
Netherlands;1.13271150479415;NL;NLD;Europe;Amsterdam;0;0;1;0;0;0;2015;879;924;845;2155.229;1.50826618391271;0
Poland;2.1405458303192;PL;POL;Europe;Warsaw;1;0;1;0;0;0;2015;873;917;842;1156.427;4.45288399815828;0
Portugal;1.32655839631643;PT;PRT;Europe;Lisbon;0;0;1;0;0;0;2015;891;934;859;3913.34;2.2144828853083;0
Romania;1.45071824376782;RO;ROM;Europe;Bucharest;0;1;1;0;0;0;2015;712;779;659;1504.083;3.64655356590626;0
Slovakia;1.10950186885543;SK;SVK;Europe;Bratislava;0;1;1;0;0;0;2015;845;898;811;1632.621;5.06728462990019;0
Slovenia;0.930119531623913;SI;SVN;Europe;Ljubljana;0;0;1;0;0;0;2015;877;923;844;1937.979;2.13325802761534;0
Spain;1.2702320395662;ES;ESP;Europe;Madrid;0;0;1;0;0;0;2015;855;903;822;3449.3;3.91911726500582;0
Sweden;1.06650205259044;SE;SWE;Europe;Stockholm;0;1;0;0;0;0;2015;921;957;897;1232.383;3.39017629600058;0